ProjectionLayer,Family,Count
core_canonical,contract,12
core_canonical,enum_family,12
core_canonical,error_cluster,3
core_canonical,field_cluster,8
core_canonical,rule_cluster,6
core_canonical,type,33
derived_layer,rule_cluster,2
derived_layer,type,1
guidance_canonical,contract,1
guidance_canonical,error_cluster,1
guidance_canonical,field_cluster,1
guidance_canonical,rule_cluster,5
guidance_canonical,type,4
reference_only,contract,1
reference_only,enum_family,1
reference_only,error_cluster,2
reference_only,field_cluster,1
reference_only,rule_cluster,2
reference_only,type,1
transform_before_finalize,contract,4
transform_before_finalize,rule_cluster,1
