QuestionId,Topic,Description,CandidateAnswer,BlockingLevel,Owner,ResolutionStatus,SourceRefs,Notes
Q-001,Top-level paymentType,Reference Android model contains a top-level paymentType but official Create Invoice model does not,Treat top-level paymentType as reference-only and keep payment array as canonical,low,analysis,resolved,REF-001; KB-006; KB-007,Canonical contract now follows official spec
Q-002,Pin contract shape,Need official request and response shapes for /api/v3/pin,Resolved as plain text request and plain text status code response,low,analysis,resolved,KB-006; KB-007,
Q-003,Status response shape,Need official fields for LPFR status response,Resolved from official Get Status table,low,analysis,resolved,KB-006; REF-001,
Q-004,Environment parameters shape,Need official fields for environment parameters response,Resolved from official response table and example payload,low,analysis,resolved,KB-006; REF-001,
Q-005,Invoice type encoding,Need authoritative mapping between numeric and string invoiceType representations,Resolved because official spec explicitly accepts both string and int values,low,analysis,resolved,KB-006; KB-007,
Q-006,Buyer ID format,Need full buyer identification code table and validation rules,Resolved to codebook values and code:value shape; exact per-code payload regexes still need separate tightening,medium,analysis,resolved,KB-005; KB-016,Core code table is now extracted
Q-007,RS payment method mapping,Need authoritative mapping between Serbian legal payment labels and generic TaxCorePaymentType values,Resolved as a strong crosswalk backed by KB-005 generic PaymentType list plus REF-001 Serbian localization while keeping legal and protocol enums separate,medium,analysis,resolved,KB-003; KB-005; KB-006; REF-001,Still treat the crosswalk as derived traceability rather than replacing the legal enum
Q-008,Reference-only extra fields,Android sample adds fields such as request hash top-level request paymentType and response items that are not present in the official Create Invoice model,Resolved by treating request hash top-level request paymentType and Android response items as app-level wrapper fields while retaining businessName locationName address district and mrc as official InvoiceResult fields,low,analysis,resolved,REF-001; KB-006; REF-002,Reference models and the official InvoiceResult schema now separate wrapper-only fields from canonical response fields
Q-009,Environment endpoints schema,Need to decide whether example endpoint keys are canonical or environment-specific helper data,Resolved by treating taxpayerAdminPortal taxCoreApi vsdc and root as strong known endpoint members because they are repeated across official examples and mirrored by REF-001 while still keeping the endpoints object open-ended for forward compatibility,low,analysis,resolved,KB-006; REF-001,The specification explicitly warns that response fields can grow
Q-010,Buyer ID per-code validators,Need exact per-code payload validators for JMBG PIB JBKJS BPG passport and date-range values,Resolved to the strongest extractable conclusion from the reviewed corpus: the catalog now captures the Serbian syntax families the PIB-family and JMBG-family code reuse the code-12 segment split BPG as a number-family document-number families for 13 and 20-36 foreign-TIN prefix guidance for code 40 and the diplomatic SNPDV LNPDV pairings while exact national digit counts and document-specific regexes remain unpublished in the reviewed official material and therefore must stay out of the canonical validator layer,low,analysis,resolved,KB-016; KB-005; KB-006; KB-012; REF-001,The remaining gap is now classified as absent from the reviewed authoritative corpus rather than as unfinished extraction and REF-001 does not add stricter buyer regexes beyond pass-through UI handling
Q-011,SignInvoice byte layout,Need the full byte-level command and response structure for SignInvoice APDU,Resolved to current 7-byte amount layout with CRC variant and response field offsets,low,analysis,resolved,KB-006; REF-004,Legacy sample mismatch is retained as version note
Q-012,LastSignedInvoice byte layout,Need the full returned structure for Get Last Signed Invoice,Resolved as same structure as SignInvoice response with optional CRC variant,low,analysis,resolved,KB-006,Current pass captures exact structural equivalence
Q-013,PKI applet variants,Need to reconcile legacy and newer PKI applet AIDs and version gating,Resolved by following the official version gate A000000397425446590201 for versions below 3.1.1 and A000000397425446590009 for versions 3.1.1 and above,low,analysis,resolved,KB-006; REF-005,Reference implementation confirms only the legacy AID and is treated as an older concrete example
Q-014,Optional buyer-field scope,The ESIR manual common-mistakes section suggests Optional buyer field appears only on Promet Prodaja while other technical material shows valid special cases on refund-like flows,Resolved by treating buyerCostCenterId as a flow-scoped field rather than a receipt-type gate because KB-005 documents valid use on both Promet Prodaja and Promet Refundacija and KB-008 itself requires at least one Promet Prodaja example with Optional buyer field,low,analysis,resolved,KB-005; KB-008; KB-012; KB-017,Lower-authority contradictory wording is now treated as non-canonical shorthand
Q-015,Refund buyer identification by payment method,Technical approval material and FAQ present refund flows with buyer identification while official guidance material says that when money is returned to a card or another noncash instrument the seller should not require an ID document or JMBG,Resolved to the strongest extractable conclusion from the reviewed corpus: keep buyer identification mandatory for the documented on-site refund baseline and model noncash refunds as a separate guidance branch where receipt number is sufficient and document capture should not be forced while the exact invoice-field serialization remains intentionally absent from the canonical catalog because the reviewed official corpus does not publish it,low,analysis,resolved,KB-005; KB-012; KB-017; REF-001,This gap is now classified as absent from the reviewed authoritative corpus rather than as unfinished extraction and REF-001 does not encode a dedicated noncash refund invoice-field branch
