UnitId,PrimaryPath,ReviewedArtifactsOrLines,BacklogSeeded,FirstPassStatus,Notes
SRC-001,knowledge_base/Zakonofiskalizaciji.pdf,/tmp/open_esir_corpus_extracts/Zakonofiskalizaciji.txt:1-220,yes,in_progress,Backlog seeded from foundational legal definitions fiscal subject mandatory receipt elements and EFD composition rules
SRC-002,knowledge_base/Pravilnik_bezbednosni_element.pdf,/tmp/open_esir_corpus_extracts/Pravilnik_bezbednosni_element.txt:1-94,yes,in_progress,Backlog seeded from BE role counters forms issuance certificate validity and deactivation rules
SRC-003,knowledge_base/Pravilnikovrstamafiskalnihraunatipovimatransakcija.pdf,/tmp/open_esir_corpus_extracts/Pravilnikovrstamafiskalnihraunatipovimatransakcija.txt:1-220,yes,in_progress,Backlog seeded from receipt kinds transaction types payment methods date format counters and referent document rules
SRC-004,knowledge_base/Tehnickivodic.pdf,/tmp/open_esir_corpus_extracts/Tehnickivodic.txt:1-986,yes,in_progress,Backlog seeded from EFD topology roles receipt lifecycle verification rendering and approval-process sections
SRC-005,knowledge_base/Tehnickouputstvo-ESIRiliL-PFR.pdf,/tmp/open_esir_corpus_extracts/Tehnickouputstvo-ESIRiliL-PFR.txt:516-518;1125-1235;1560-1618;2019-2028,yes,in_progress,Backlog seeded from approval change control receipt rendering and LPFR obligation sections
SRC-006,knowledge_base/Technical-Documentation.pdf,/tmp/open_esir_corpus_extracts/Technical-Documentation.txt:2658-2830;3306-3389;3438-3777;3790-3900;5297-5410,yes,in_progress,Backlog seeded from central protocol and error sections
SRC-007,knowledge_base/Concepts.pdf,/tmp/open_esir_corpus_extracts/Concepts.txt:185-247;311-345;401-476,yes,in_progress,Backlog seeded from glossary primitives and MRC sections
SRC-008,knowledge_base/Overview.pdf,/tmp/open_esir_corpus_extracts/Overview.txt:1-134,yes,in_progress,Backlog seeded from governing principles verification and anti-suppression design principles
SRC-009,knowledge_base/RucnoTestiranjeLPFR-a_v10.pdf,/tmp/open_esir_corpus_extracts/RucnoTestiranjeLPFR-a_v10.txt:860-909;962-1091,yes,in_progress,Backlog seeded from card-removal PIN-reset and endpoint expectation scenarios
SRC-010,knowledge_base/RunotestiranjeESIRa.pdf,/tmp/open_esir_corpus_extracts/RunotestiranjeESIRa.txt:1-1120,yes,in_progress,Backlog seeded from documentation requirements forbidden functions operational rules tax handling delivery scenarios and common ESIR approval mistakes
SRC-011,knowledge_base/ifarnikjedinstvenogIDkupca_ver_116_18122023.pdf,/tmp/open_esir_corpus_extracts/ifarnikjedinstvenogIDkupca_ver_116_18122023.txt:1-122,yes,in_progress,Backlog seeded from buyerId buyerCostCenterId code families examples and the only explicit format example for code 60
SRC-012,knowledge_base/Обавезе_обвезника_фискализације.pdf,/tmp/open_esir_corpus_extracts/Обавезе_обвезника_фискализације.txt:1-1199,yes,in_progress,Backlog seeded from taxpayer obligations PGJO BE lifecycle advance and refund flows readout rules and practical guidance notes
SRC-013,knowledge_base/Апликације.pdf,/tmp/open_esir_corpus_extracts/Апликације.txt:200-422;632-744;868-1222,yes,in_progress,Backlog seeded from public verification and application-behavior sections
SRC-014,knowledge_base/Пореска управа __ Одговори на најчешћa питања.html,knowledge_base/Пореска управа __ Одговори на најчешћa питања.html:1-160;11018-11931,yes,in_progress,Backlog seeded from targeted FAQ content blocks for PFR BE receipt rules advance refund copy offline and fair-sale operational guidance
SRC-015,knowledge_base/Тимови-и-улоге.pdf,,no,triaged,Currently out of scope for raw type/contract backlog
REF-001,knowledge_base/Taxcore-MobilePOS-Android,"InvoiceFragment.kt:112-113;755-785 | JournalManager.kt:118-163 | PrefService.kt:162-191",yes,in_progress,Backlog seeded only for high-signal reference drift and persistence evidence
REF-002,knowledge_base/VSDCRequestSubmitterV3.0,VSDCApiProxy.cs:31-66,yes,in_progress,Backlog seeded from the connected V-SDC transport envelope
REF-003,knowledge_base/Secure-Element-Reader,"ApduCommandService.cs:10-125 | CardReaderService.cs:43-100 | VerifyPinDialogViewModel.cs:131-199",yes,in_progress,Backlog seeded from smart-card and APDU behavior
REF-004,knowledge_base/TaxCore.Libraries.Certificates,"CertificateTypes.cs:9-110 | Certificate.cs:79-252",yes,in_progress,Backlog seeded from certificate class and metadata evidence
REF-005,knowledge_base/Dti.TaxCore.Examples.SESignInvoiceV3.0,README.md:1-14 | SESignInvoice/ESDCFixture.cs:1-198 | ../Dti.TaxCore.Examples.SESignInvoice/README.md:1-14 | ../Dti.TaxCore.Examples.SESignInvoice/SESignInvoice/ESDCFixture.cs:1-196,yes,in_progress,Backlog seeded from legacy and v3 APDU signing sample family
CTX-001,knowledge_base/efiskalizacija_minimalni_starter_set.md,,no,triaged,Context bundle only and not a primary raw-backlog target
IGN-001,knowledge_base/efisk.zip,,no,ignored,Explicitly excluded from logical-source review count
