SourceId,Title,Kind,Authority,VersionOrCommit,RepoPath,Role,Priority,Notes
KB-001,Zakon o fiskalizaciji,pdf,normative,unknown,knowledge_base/Zakonofiskalizaciji.pdf,legal baseline,P1,Defines EFU actors and compliance frame
KB-002,Pravilnik,pdf,normative,unknown,knowledge_base/Pravilnik.pdf,duplicate placeholder,P4,This PDF and the accompanying docx content duplicate the BE rulebook captured as KB-011
KB-003,Pravilnik o vrstama fiskalnih racuna,pdf,normative,unknown,knowledge_base/Pravilnikovrstamafiskalnihraunatipovimatransakcija.pdf,domain baseline,P1,Primary source for invoice types transaction types payment types and receipt elements
KB-004,Tehnicki vodic,pdf,official_technical,unknown,knowledge_base/Tehnickivodic.pdf,system overview,P1,Defines ESIR PFR and BE responsibilities
KB-005,Tehnicko uputstvo ESIR ili L-PFR,pdf,official_technical,1.17,knowledge_base/Tehnickouputstvo-ESIRiliL-PFR.pdf,approval and behavior baseline,P1,Primary source for questionnaires samples and approval constraints
KB-006,Technical Documentation,pdf,official_spec,unknown,knowledge_base/Technical-Documentation.pdf,protocol baseline,P1,Primary source for request response status error and SE protocol details
KB-007,Rucno testiranje L-PFR,pdf,official_manual_test,1.0,knowledge_base/RucnoTestiranjeLPFR-a_v10.pdf,negative and operational scenarios,P1,Important for errors status and edge cases
KB-008,Runocno testiranje ESIR,pdf,official_manual_test,unknown,knowledge_base/RunotestiranjeESIRa.pdf,ESIR behavior scenarios,P1,Important for receipt rendering and ESIR-side constraints
KB-009,Overview,pdf,official_spec,unknown,knowledge_base/Overview.pdf,background,P3,Background principles source used to cross-check verification offline and environment-configuration guidance
KB-010,Concepts,pdf,official_spec,unknown,knowledge_base/Concepts.pdf,background,P3,Glossary-style source now mined for UID PAC PFX password MRC and verification primitives
KB-011,Pravilnik bezbednosni element,pdf,normative,unknown,knowledge_base/Pravilnik_bezbednosni_element.pdf,BE baseline,P1,Primary normative source for BE constraints and duplicated in KB-002 under a generic file name
KB-012,Obaveze obveznika fiskalizacije,pdf,official_guidance,unknown,knowledge_base/Обавезе_обвезника_фискализације.pdf,operational context,P3,Human-readable overview
KB-013,Aplikacije,pdf,official_guidance,unknown,knowledge_base/Апликације.pdf,application overview,P3,Application overview that also documents public receipt verification behavior and JSON verification mode
KB-014,Timovi i uloge,pdf,official_guidance,unknown,knowledge_base/Тимови-и-улоге.pdf,process context,P3,Approval and actor-role context only with no primary schema authority
KB-015,Pasted external chat notes,txt,informal_notes,unknown,knowledge_base/Pasted text(1).txt,market and strategy notes,P4,Low-authority strategy and architecture notes reviewed only for context and not for canonical rules
KB-016,Sifrarnik jedinstvenog ID kupca,pdf,official_technical,1.15,knowledge_base/ifarnikjedinstvenogIDkupca_ver_116_18122023.pdf,buyer identification codebook,P1,Primary source for buyer identification code values
KB-017,Poreska uprava FAQ,html,official_guidance,unknown,knowledge_base/Пореска управа __ Одговори на најчешћa питања.html,operational FAQ and edge cases,P2,Useful for practical interpretations but may lag behind newer technical materials
KB-018,eFiskalizacija minimalni starter set,md,curated_notes,unknown,knowledge_base/efiskalizacija_minimalni_starter_set.md,curated project bootstrap,P3,Curated onboarding map that points back to stronger official sources and submodule references
KB-019,eFiskalizacija resursi SR markdown,md,curated_notes,unknown,knowledge_base/efiskalizacija_resursi_sr.md,resource index,P3,Curated resource index triaged as a traceability helper rather than a normative source
KB-020,eFiskalizacija resursi SR spreadsheet,xlsx,curated_notes,unknown,knowledge_base/efiskalizacija_resursi_sr.xlsx,resource index spreadsheet,P3,Structured spreadsheet mirror of the curated resource index with grouping priority and link metadata but no new canonical fiscal content
KB-021,eFisk archive,zip,mixed_archive,unknown,knowledge_base/efisk.zip,archived materials,P4,Archive contents mirror the already unpacked core corpus and do not currently add extra canonical sources
KB-022,Confidentiality,pdf,process_doc,unknown,knowledge_base/Confidentiality.pdf,process or legal context,P4,License trademark and warranty notice only with no canonical fiscal schema content
REF-001,Taxcore MobilePOS Android,submodule,reference_impl,79006ca90aca81eef14dc467247cc1bae686c526,knowledge_base/Taxcore-MobilePOS-Android,reference payloads and flows,P2,Main implementation reference for ESIR-LPFR interaction with local reference-number regex but no stricter buyer validators
REF-002,VSDC Request Submitter V3.0,submodule,reference_impl,13691045a63067e9aea726fceae9ffcfa2aa6fa3,knowledge_base/VSDCRequestSubmitterV3.0,reference payloads and V-PFR flow,P2,Useful for the connected V-SDC request envelope PAC header and client-certificate based submission flow
REF-003,SE Sign Invoice,submodule,reference_impl,87c5c74eeeeedc1b09dc28f8578e420ecbf1516d,knowledge_base/Dti.TaxCore.Examples.SESignInvoice,reference secure element flow,P2,Legacy secure element sample
REF-004,SE Sign Invoice V3.0,submodule,reference_impl,354802d3056f273dfd535676703b3e12fafc66ff,knowledge_base/Dti.TaxCore.Examples.SESignInvoiceV3.0,reference secure element flow,P2,V3 secure element sample
REF-005,Secure Element Reader,submodule,reference_impl,fba4c62488472ebef561b72d540dd01d834b0465,knowledge_base/Secure-Element-Reader,reference APDU and card lifecycle,P2,Strong reference for BE commands and status handling
REF-006,TaxCore Certificates Library,submodule,reference_impl,ba35355a19479d0d3d53c8e32b1999959cd73a63,knowledge_base/TaxCore.Libraries.Certificates,reference certificate parsing,P2,Useful for certificate-derived types and metadata
